text,target
Win a brand new car! Click the link now!,spam
"Hey, are we still meeting at 5?",not spam
Congratulations! You've won a free iPhone!,spam
Reminder: Your dentist appointment is tomorrow at 3 PM.,not spam
Limited time offer! Get 50% off on all products!,spam
Can you send me the report by noon?,not spam
Urgent: Your bank account has been compromised. Act now!,spam
Let's grab lunch tomorrow?,not spam
"You have been selected for a $1,000 gift card!",spam
"Hey, did you watch the game last night?",not spam
Claim your free vacation today!,spam
Don't forget to call grandma today.,not spam
Get rich quick with this simple trick!,spam
Join us for the team meeting at 10 AM.,not spam
Hurry! This exclusive deal expires in 24 hours!,spam
Your package has been delivered.,not spam
Earn money from home with no effort!,spam
Are you coming to the party this weekend?,not spam
Act fast! Your subscription is about to expire!,spam
Let's schedule a call for tomorrow.,not spam
